     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           9.375;           0.009;           0.000;         20;         20;       12481.600;       18060.950;       15930.468;        1075.950 ( 6.754 %);    191.567
       IKJ;           9.375;           0.009;           0.000;         20;         20;        9858.750;       17147.100;       13201.526;        2663.794 (20.178 %);    231.167
       IEX;           9.375;           0.009;           0.000;         20;         20;        8414.050;       14919.800;        9652.371;        1932.331 (20.019 %);    316.167
    UNROLL;           9.375;           0.009;           0.000;         20;         20;        6533.800;        9198.850;        7151.861;         511.175 ( 7.147 %);    426.708
  UNROLLx8;           9.375;           0.009;           0.000;         20;         20;        3985.850;        6544.650;        4258.626;         612.412 (14.381 %);    716.606
     CBLAS;           9.375;           0.009;           0.000;         20;         20;        4243.200;        6107.000;        4419.864;         438.540 ( 9.922 %);    690.464
