     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           9.375;           0.009;           0.000;         20;         20;       14760.950;       19871.150;       16587.995;        1148.992 ( 6.927 %);    183.974
       IKJ;           9.375;           0.009;           0.000;         20;         20;       13112.200;       19377.050;       14308.547;        1375.246 ( 9.611 %);    213.282
       IEX;           9.375;           0.009;           0.000;         20;         20;       11842.000;       17186.550;       13420.362;        1818.891 (13.553 %);    227.398
    UNROLL;           9.375;           0.009;           0.000;         20;         20;        7124.700;       11391.500;        7601.595;        1164.735 (15.322 %);    401.463
  UNROLLx8;           9.375;           0.009;           0.000;         20;         20;        4142.550;        5849.000;        4207.582;         298.736 ( 7.100 %);    725.300
     CBLAS;           9.375;           0.009;           0.000;         20;         20;        4240.250;        5742.350;        4407.798;         329.255 ( 7.470 %);    692.354
