     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           9.375;           0.009;           0.000;         20;         20;       10729.400;       17383.900;       12360.908;        1941.559 (15.707 %);    246.888
       IKJ;           9.375;           0.009;           0.000;         20;         20;        4497.950;        8568.250;        6199.964;        1457.604 (23.510 %);    492.222
       IEX;           9.375;           0.009;           0.000;         20;         20;        4420.250;        7483.500;        4776.768;         745.427 (15.605 %);    638.875
    UNROLL;           9.375;           0.009;           0.000;         20;         20;        7664.350;       11292.850;        8810.203;        1372.515 (15.579 %);    346.389
  UNROLLx8;           9.375;           0.009;           0.000;         20;         20;        6833.750;        9840.000;        7549.803;        1056.067 (13.988 %);    404.217
     CBLAS;           9.375;           0.009;           0.000;         20;         20;        4652.050;        7261.300;        5117.561;         713.798 (13.948 %);    596.331
