     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           9.375;           0.009;           0.000;         20;         20;       39634.100;       88226.600;       54686.473;       15574.529 (28.480 %);     55.805
       IKJ;           9.375;           0.009;           0.000;         20;         20;       36313.300;       49479.750;       38459.397;        3321.143 ( 8.635 %);     79.350
       IEX;           9.375;           0.009;           0.000;         20;         20;       30935.050;       33462.900;       31239.642;         582.008 ( 1.863 %);     97.689
    UNROLL;           9.375;           0.009;           0.000;         20;         20;       23904.400;       34187.150;       24311.518;        1783.275 ( 7.335 %);    125.527
  UNROLLx8;           9.375;           0.009;           0.000;         20;         20;       15092.200;       19936.600;       15313.498;         844.757 ( 5.516 %);    199.285
     CBLAS;           9.375;           0.009;           0.000;         20;         20;        4068.700;        5141.900;        4122.491;         212.345 ( 5.151 %);    740.270
