     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           9.375;           0.009;           0.000;         20;         20;       10762.350;       19049.100;       14162.545;        3042.328 (21.482 %);    215.481
       IKJ;           9.375;           0.009;           0.000;         20;         20;       12866.950;       18365.200;       14919.867;        1552.445 (10.405 %);    204.543
       IEX;           9.375;           0.009;           0.000;         20;         20;       11650.850;       15952.050;       13150.015;        1136.942 ( 8.646 %);    232.073
    UNROLL;           9.375;           0.009;           0.000;         20;         20;        6614.350;       12049.050;        7840.664;        1590.219 (20.282 %);    389.222
  UNROLLx8;           9.375;           0.009;           0.000;         20;         20;        3957.500;        6020.400;        4324.891;         658.163 (15.218 %);    705.627
     CBLAS;           9.375;           0.009;           0.000;         20;         20;        4251.800;        6068.750;        4376.938;         398.356 ( 9.101 %);    697.236
