     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           9.375;           0.009;           0.000;         20;         20;       71054.100;      119740.600;       90866.430;       11191.738 (12.317 %);     33.585
       IKJ;           9.375;           0.009;           0.000;         20;         20;       46505.950;       86610.150;       77449.626;       12923.534 (16.686 %);     39.403
       IEX;           9.375;           0.009;           0.000;         20;         20;       38926.800;       74619.200;       69115.706;        8657.113 (12.526 %);     44.154
    UNROLL;           9.375;           0.009;           0.000;         20;         20;       56404.350;       66892.350;       64890.361;        2732.317 ( 4.211 %);     47.029
  UNROLLx8;           9.375;           0.009;           0.000;         20;         20;       23061.850;       43581.200;       34466.562;        7666.309 (22.243 %);     88.543
     CBLAS;           9.375;           0.009;           0.000;         20;         20;        4069.450;       39768.050;        5169.941;        6211.732 (120.151 %);    590.289
