     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           9.375;           0.009;           0.000;         20;         20;        9704.800;       17112.800;       15140.030;        1646.636 (10.876 %);    201.569
       IKJ;           9.375;           0.009;           0.000;         20;         20;        4673.750;        9133.700;        5555.376;        1407.195 (25.330 %);    549.334
       IEX;           9.375;           0.009;           0.000;         20;         20;        4868.000;       11034.700;        6434.067;        1778.492 (27.642 %);    474.312
    UNROLL;           9.375;           0.009;           0.000;         20;         20;        6771.000;       11702.700;        8334.982;        1658.718 (19.901 %);    366.139
  UNROLLx8;           9.375;           0.009;           0.000;         20;         20;        2907.600;        3337.050;        3016.114;         107.697 ( 3.571 %);   1011.818
     CBLAS;           9.375;           0.009;           0.000;         20;         20;        4645.700;        7359.350;        4832.595;         616.619 (12.760 %);    631.495
