     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           9.375;           0.009;           0.000;         20;         20;        8597.600;       15179.850;        9718.129;        1640.075 (16.876 %);    314.027
       IKJ;           9.375;           0.009;           0.000;         20;         20;        4685.650;        9686.550;        6358.064;        1971.176 (31.003 %);    479.982
       IEX;           9.375;           0.009;           0.000;         20;         20;        4839.900;       13235.700;        6094.776;        2029.938 (33.306 %);    500.717
    UNROLL;           9.375;           0.009;           0.000;         20;         20;        6764.300;       10925.200;        7711.103;        1417.802 (18.387 %);    395.762
  UNROLLx8;           9.375;           0.009;           0.000;         20;         20;        2776.900;        4966.350;        3643.147;         768.053 (21.082 %);    837.671
     CBLAS;           9.375;           0.009;           0.000;         20;         20;        4650.050;        8046.850;        5873.594;        1289.987 (21.962 %);    519.572
