     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           9.375;           0.009;           0.000;         20;         20;       15203.300;       16902.000;       16165.694;         378.874 ( 2.344 %);    188.780
       IKJ;           9.375;           0.009;           0.000;         20;         20;        8793.600;       11199.550;        9460.518;         493.578 ( 5.217 %);    322.578
       IEX;           9.375;           0.009;           0.000;         20;         20;        5386.800;        9823.350;        8558.352;         842.700 ( 9.847 %);    356.582
    UNROLL;           9.375;           0.009;           0.000;         20;         20;        7591.900;       13396.800;       11181.979;        1507.238 (13.479 %);    272.918
  UNROLLx8;           9.375;           0.009;           0.000;         20;         20;        3848.100;        8802.600;        5297.603;         975.863 (18.421 %);    576.064
     CBLAS;           9.375;           0.009;           0.000;         20;         20;        4435.200;       10010.150;        6863.983;        1177.213 (17.151 %);    444.604
