     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           9.375;           0.009;           0.000;         20;         20;        8256.800;       13263.950;        9061.553;        1221.542 (13.480 %);    336.781
       IKJ;           9.375;           0.009;           0.000;         20;         20;        4675.150;        8663.650;        6830.164;        1308.911 (19.164 %);    446.806
       IEX;           9.375;           0.009;           0.000;         20;         20;        4414.000;        8691.950;        5066.076;        1186.317 (23.417 %);    602.391
    UNROLL;           9.375;           0.009;           0.000;         20;         20;        8021.600;       11348.500;        9558.403;        1248.723 (13.064 %);    319.275
  UNROLLx8;           9.375;           0.009;           0.000;         20;         20;        6863.900;        9385.550;        7140.238;         569.149 ( 7.971 %);    427.403
     CBLAS;           9.375;           0.009;           0.000;         20;         20;        4655.050;        7244.350;        4875.358;         517.103 (10.606 %);    625.956
