     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
    UNROLL;           9.375;           0.009;           0.000;         20;         20;        6665.350;        9686.550;        7208.153;         627.899 ( 8.711 %);    423.376
  UNROLLx8;           9.375;           0.009;           0.000;         20;         20;        6432.000;       10730.800;        7231.215;        1109.860 (15.348 %);    422.026
