     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           9.375;           0.009;           0.000;         20;         20;       48546.050;      104976.600;       65901.552;       15805.384 (23.983 %);     46.308
       IKJ;           9.375;           0.009;           0.000;         20;         20;       45031.450;       67345.350;       48992.118;        5643.855 (11.520 %);     62.291
       IEX;           9.375;           0.009;           0.000;         20;         20;       38370.500;       49838.700;       39252.059;        2139.151 ( 5.450 %);     77.748
    UNROLL;           9.375;           0.009;           0.000;         20;         20;       36159.300;       36801.800;       36268.439;         126.548 ( 0.349 %);     84.144
  UNROLLx8;           9.375;           0.009;           0.000;         20;         20;       36256.950;       36713.400;       36494.014;         129.266 ( 0.354 %);     83.624
     CBLAS;           9.375;           0.009;           0.000;         20;         20;        4065.800;        5229.250;        4108.077;         203.770 ( 4.960 %);    742.868
