     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           9.375;           0.009;           0.000;         20;         20;        8707.600;       17916.150;       14936.142;        2155.985 (14.435 %);    204.320
       IKJ;           9.375;           0.009;           0.000;         20;         20;        4872.000;       11625.900;        5931.639;        1726.503 (29.107 %);    514.488
       IEX;           9.375;           0.009;           0.000;         20;         20;        4668.150;        9531.200;        6697.720;        2100.408 (31.360 %);    455.641
    UNROLL;           9.375;           0.009;           0.000;         20;         20;        6444.750;       11761.600;        8637.295;        2020.027 (23.387 %);    353.323
  UNROLLx8;           9.375;           0.009;           0.000;         20;         20;        6177.650;       10950.050;        7816.730;        1726.782 (22.091 %);    390.414
     CBLAS;           9.375;           0.009;           0.000;         20;         20;        4442.950;        7159.900;        5094.505;         841.982 (16.527 %);    599.029
