     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           9.375;           0.009;           0.000;         20;         20;       41988.550;       99858.000;       58346.505;       15454.701 (26.488 %);     52.304
       IKJ;           9.375;           0.009;           0.000;         20;         20;       36268.300;       65438.800;       41616.018;        7388.602 (17.754 %);     73.331
       IEX;           9.375;           0.009;           0.000;         20;         20;       30930.400;       38612.400;       31731.797;        1636.028 ( 5.156 %);     96.173
    UNROLL;           9.375;           0.009;           0.000;         20;         20;       23905.000;       24752.100;       24098.394;         187.599 ( 0.778 %);    126.637
  UNROLLx8;           9.375;           0.009;           0.000;         20;         20;       26180.300;       26793.600;       26389.648;         160.301 ( 0.607 %);    115.642
     CBLAS;           9.375;           0.009;           0.000;         20;         20;        4065.250;       51718.650;        5542.420;        8290.049 (149.575 %);    550.618
