     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.312;           0.000;           0.000;         20;         20;         349.187;          22.850;          55.950;          24.588;           5.642 (22.946 %);   6205.818
    BASEx8;           0.312;           0.000;           0.000;         20;         20;         409.909;          17.350;          33.250;          18.129;           2.794 (15.413 %);   8416.883
