     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.312;           0.000;           0.000;         20;         20;         173.420;          57.100;          81.000;          58.003;           4.145 ( 7.146 %);   2630.688
    BASEx8;           0.312;           0.000;           0.000;         20;         20;          33.419;          14.350;          25.400;          14.908;           2.026 (13.587 %);  10235.594
