     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.312;           0.000;           0.000;         20;         20;         178.583;          25.650;          43.350;          26.280;           3.068 (11.672 %);   5806.169
    BASEx8;           0.312;           0.000;           0.000;         20;         20;         322.392;          10.550;          18.400;          10.927;           1.345 (12.311 %);  13963.950
