     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.312;           0.000;           0.000;         20;         20;         465.204;          27.300;          57.250;          28.371;           5.187 (18.282 %);   5378.265
    BASEx8;           0.312;           0.000;           0.000;         20;         20;          23.763;          14.650;          36.350;          19.700;           5.019 (25.479 %);   7745.578
