     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.312;           0.000;           0.000;         20;         20;         858.019;         113.250;         134.050;         114.712;           4.110 ( 3.583 %);   1330.181
    BASEx8;           0.312;           0.000;           0.000;         20;         20;          33.837;          22.900;          29.350;          23.661;           1.737 ( 7.342 %);   6449.027
