     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.312;           0.000;           0.000;         20;         20;         135.268;          43.500;          74.650;          49.709;           6.988 (14.058 %);   3069.617
    BASEx8;           0.312;           0.000;           0.000;         20;         20;          14.336;          11.800;          24.800;          13.285;           2.329 (17.531 %);  11485.859
