     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.312;           0.000;           0.000;         20;         20;          94.329;          25.150;          56.250;          26.527;           5.439 (20.503 %);   5752.114
    BASEx8;           0.312;           0.000;           0.000;         20;         20;          23.125;          11.000;          23.900;          11.556;           2.281 (19.734 %);  13204.144
