     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.312;           0.000;           0.000;         20;         20;         142.214;         114.350;         144.850;         116.089;           5.269 ( 4.539 %);   1314.400
    BASEx8;           0.312;           0.000;           0.000;         20;         20;          13.086;          23.900;          37.750;          24.691;           2.520 (10.206 %);   6179.922
