     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.312;           0.000;           0.000;         20;         20;        2164.049;          18.350;          29.750;          18.897;           1.958 (10.361 %);   8074.728
    BASEx8;           0.312;           0.000;           0.000;         20;         20;          41.793;           8.750;          15.150;           9.129;           1.112 (12.184 %);  16715.022
