     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.312;           0.000;           0.000;         20;         20;         178.102;          40.500;          70.600;          45.638;           5.031 (11.023 %);   3343.448
    BASEx8;           0.312;           0.000;           0.000;         20;         20;          11.127;          11.100;          25.450;          14.759;           2.824 (19.134 %);  10338.570
