     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.312;           0.000;           0.000;         20;         20;          66.182;          30.300;          43.950;          30.927;           2.368 ( 7.656 %);   4933.765
    BASEx8;           0.312;           0.000;           0.000;         20;         20;           5.119;           9.750;          16.500;          10.138;           1.213 (11.970 %);  15051.264
