     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.312;           0.000;           0.000;         20;         20;         129.487;          29.450;          46.000;          30.183;           2.873 ( 9.519 %);   5055.369
    BASEx8;           0.312;           0.000;           0.000;         20;         20;          14.543;           9.150;          16.300;           9.444;           1.250 (13.233 %);  16157.229
