     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.312;           0.000;           0.000;         20;         20;          69.864;         108.850;         131.650;         110.202;           3.897 ( 3.537 %);   1384.626
    BASEx8;           0.312;           0.000;           0.000;         20;         20;           9.195;          20.150;          40.950;          21.227;           4.163 (19.614 %);   7188.295
