     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.312;           0.000;           0.000;         20;         20;         219.475;          14.150;          43.100;          15.085;           5.032 (33.360 %);  10115.308
    BASEx8;           0.312;           0.000;           0.000;         20;         20;           4.010;           9.850;          23.450;          10.514;           2.359 (22.438 %);  14513.332
