     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.312;           0.000;           0.000;         20;         20;         204.772;         158.050;         199.300;         169.476;          10.626 ( 6.270 %);    900.352
    BASEx8;           0.312;           0.000;           0.000;         20;         20;           5.171;          34.250;          66.150;          41.817;           7.346 (17.567 %);   3648.973
