     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.312;           0.000;           0.000;         20;         20;          49.783;          23.050;          54.900;          26.936;           5.268 (19.558 %);   5664.755
    BASEx8;           0.312;           0.000;           0.000;         20;         20;          16.597;          11.550;          18.800;          13.365;           1.544 (11.551 %);  11416.847
