     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.312;           0.000;           0.000;         20;         20;         560.473;          17.050;          48.000;          18.492;           5.325 (28.797 %);   8251.373
    BASEx8;           0.312;           0.000;           0.000;         20;         20;           6.813;          10.500;          25.550;          11.264;           2.652 (23.547 %);  13546.948
