     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.312;           0.000;           0.000;         20;         20;          90.451;          25.900;          39.600;          26.573;           2.395 ( 9.012 %);   5742.274
    BASEx8;           0.312;           0.000;           0.000;         20;         20;           4.612;          12.250;          24.150;          12.918;           2.286 (17.695 %);  11811.870
