     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.312;           0.000;           0.000;         20;         20;         155.800;          42.800;          61.100;          43.495;           3.193 ( 7.341 %);   3508.134
    BASEx8;           0.312;           0.000;           0.000;         20;         20;         104.216;          11.150;          18.650;          11.474;           1.338 (11.664 %);  13298.298
