     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.312;           0.000;           0.000;         20;         20;          89.677;          20.950;          46.250;          22.947;           4.219 (18.385 %);   6649.588
    BASEx8;           0.312;           0.000;           0.000;         20;         20;           3.842;           7.500;          19.700;           8.882;           2.178 (24.527 %);  17179.803
