     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           9.375;           0.009;           0.000;         20;         20;       13781.550;       20485.000;       16359.470;        1598.633 ( 9.772 %);    186.544
       IKJ;           9.375;           0.009;           0.000;         20;         20;       13160.500;       16242.600;       14158.468;         716.622 ( 5.061 %);    215.543
       IEX;           9.375;           0.009;           0.000;         20;         20;       11834.050;       17107.300;       13278.083;        1578.952 (11.891 %);    229.834
    UNROLL;           9.375;           0.009;           0.000;         20;         20;        6665.350;        9686.550;        7208.153;         627.899 ( 8.711 %);    423.376
  UNROLLx8;           9.375;           0.009;           0.000;         20;         20;        6432.000;       10730.800;        7231.215;        1109.860 (15.348 %);    422.026
     CBLAS;           9.375;           0.009;           0.000;         20;         20;        4242.600;        5804.500;        4347.598;         359.558 ( 8.270 %);    701.941
