     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           9.375;           0.009;           0.000;         20;         20;       10727.300;       15399.800;       11662.802;        1204.809 (10.330 %);    261.666
       IKJ;           9.375;           0.009;           0.000;         20;         20;        4422.500;        6988.350;        4651.148;         667.125 (14.343 %);    656.130
       IEX;           9.375;           0.009;           0.000;         20;         20;        4305.700;        8832.900;        6075.633;        1358.103 (22.353 %);    502.295
    UNROLL;           9.375;           0.009;           0.000;         20;         20;        7695.550;       10661.800;        8257.835;         858.071 (10.391 %);    369.559
  UNROLLx8;           9.375;           0.009;           0.000;         20;         20;        7262.350;       10938.000;        8265.429;        1323.356 (16.011 %);    369.220
     CBLAS;           9.375;           0.009;           0.000;         20;         20;        4436.900;        6330.700;        4662.338;         422.046 ( 9.052 %);    654.555
