     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           9.375;           0.009;           0.000;         20;         20;        9103.450;       15953.350;       10892.003;        2218.611 (20.369 %);    280.183
       IKJ;           9.375;           0.009;           0.000;         20;         20;        4923.350;       11824.600;        8335.362;        2259.817 (27.111 %);    366.122
       IEX;           9.375;           0.009;           0.000;         20;         20;        4657.900;       10034.050;        6576.500;        2145.305 (32.621 %);    464.040
    UNROLL;           9.375;           0.009;           0.000;         20;         20;        6768.050;       11063.300;        7093.120;         791.164 (11.154 %);    430.242
  UNROLLx8;           9.375;           0.009;           0.000;         20;         20;        6446.700;       12102.600;        7586.953;        1845.894 (24.330 %);    402.238
     CBLAS;           9.375;           0.009;           0.000;         20;         20;        4247.450;        6742.750;        4436.036;         544.703 (12.279 %);    687.947
