     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           9.375;           0.009;           0.000;         20;         20;       14958.400;       19069.350;       16403.145;        1100.657 ( 6.710 %);    186.047
       IKJ;           9.375;           0.009;           0.000;         20;         20;        8939.950;       19717.200;       14602.350;        3434.413 (23.520 %);    208.991
       IEX;           9.375;           0.009;           0.000;         20;         20;        8850.000;       17931.150;       12794.953;        3339.895 (26.103 %);    238.513
    UNROLL;           9.375;           0.009;           0.000;         20;         20;        6510.450;       14395.400;        7113.456;        1397.167 (19.641 %);    429.012
  UNROLLx8;           9.375;           0.009;           0.000;         20;         20;        6565.150;       12539.650;        7501.259;        1478.916 (19.716 %);    406.833
     CBLAS;           9.375;           0.009;           0.000;         20;         20;        4262.950;        8614.600;        5022.423;        1146.096 (22.820 %);    607.627
