     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           9.375;           0.009;           0.000;         20;         20;        9134.850;       17800.250;       14854.015;        2490.486 (16.766 %);    205.450
       IKJ;           9.375;           0.009;           0.000;         20;         20;        4944.100;        9101.650;        5954.427;        1394.109 (23.413 %);    512.519
       IEX;           9.375;           0.009;           0.000;         20;         20;        4652.550;       10005.450;        5614.714;        1612.449 (28.718 %);    543.529
    UNROLL;           9.375;           0.009;           0.000;         20;         20;        6804.800;       12298.950;        8467.495;        1932.232 (22.819 %);    360.409
  UNROLLx8;           9.375;           0.009;           0.000;         20;         20;        6459.950;       12457.550;        8827.709;        2003.516 (22.696 %);    345.702
     CBLAS;           9.375;           0.009;           0.000;         20;         20;        4653.850;        9377.650;        4860.944;         837.873 (17.237 %);    627.812
