     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           9.375;           0.009;           0.000;         20;         20;       10215.850;       21639.200;       16432.520;        2584.909 (15.730 %);    185.715
       IKJ;           9.375;           0.009;           0.000;         20;         20;       12884.200;       17788.100;       14032.005;        1309.173 ( 9.330 %);    217.486
       IEX;           9.375;           0.009;           0.000;         20;         20;       11643.650;       16473.150;       12536.855;        1165.468 ( 9.296 %);    243.423
    UNROLL;           9.375;           0.009;           0.000;         20;         20;        6314.050;       10956.100;        7604.753;        1458.454 (19.178 %);    401.296
  UNROLLx8;           9.375;           0.009;           0.000;         20;         20;        6120.800;       16168.400;        9421.333;        2126.815 (22.574 %);    323.920
     CBLAS;           9.375;           0.009;           0.000;         20;         20;        4245.550;        8392.700;        5765.683;        1479.436 (25.659 %);    529.297
